Rgn,Country                     , Status   ,Latitude,  Longtiude,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8, Filename 
1,Libya                         ,WMO_Member,  30.133,   9.500,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , GHADAMES_62103.csv                                               
1,Libya                         ,WMO_Member,  25.133,  10.133,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , GHAT_62212.csv                                                   
1,Libya                         ,WMO_Member,  24.133,  15.450,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , HON_62131.csv                                                    
1,Libya                         ,WMO_Member,  29.033,  12.567,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , JALO_62161.csv                                                   
1,Libya                         ,WMO_Member,  32.317,  15.050,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,TSUN, MISURATA_62016.csv                                               
1,Libya                         ,WMO_Member,  31.867,  10.983,PRCP,DP01,TMAX,TMIN,TAVG,    ,MNVP,    , NALUT_62002.csv                                                  
1,Libya                         ,WMO_Member,  31.200,  16.583,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , SIRTE_62019.csv                                                  
1,Libya                         ,WMO_Member,  32.100,  23.933,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,    , TOBRUK_62062.csv                                                 
1,Libya                         ,WMO_Member,  32.083,  12.550,PRCP,DP01,TMAX,TMIN,TAVG,    ,MNVP,    , YEFREN_62008.csv                                                 
1,Libya                         ,WMO_Member,  32.883,  12.083,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,    , ZUARA_62007.csv                                                  
1,Madagascar                    ,WMO_Member, -17.633,  48.500,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , AMBOHITSILAOZANA_67067.csv                                       
1,Madagascar                    ,WMO_Member, -14.883,  50.250,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , ANTALAHA_67025.csv                                               
1,Madagascar                    ,WMO_Member, -18.867,  47.500,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , ANTANANARIVO_67085.csv                                           
1,Madagascar                    ,WMO_Member, -19.817,  47.067,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , ANTSIRABE_67107.csv                                              
1,Madagascar                    ,WMO_Member, -12.350,  49.300,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , ANTSIRANANA_67009.csv                                            
1,Madagascar                    ,WMO_Member, -14.883,  47.983,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , ANTSOHIHY_67020.csv                                              
1,Madagascar                    ,WMO_Member, -16.750,  44.483,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BESALAMPY_67037.csv                                              
1,Madagascar                    ,WMO_Member, -22.800,  47.833,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , FARAFANGANA_67157.csv                                            
1,Madagascar                    ,WMO_Member, -21.450,  47.100,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , FIANARANTSOA_67137.csv                                           
1,Madagascar                    ,WMO_Member, -18.800,  47.483,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , IVATO_67083.csv                                                  
1,Madagascar                    ,WMO_Member, -15.667,  46.350,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , MAHAJANGA_67027.csv                                              
1,Madagascar                    ,WMO_Member, -19.833,  48.800,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , MAHANORO_67113.csv                                               
1,Madagascar                    ,WMO_Member, -18.050,  44.033,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , MAINTIRANO_67073.csv                                             
