Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MNVP,2,China                         ,WMO_Member,  42.820,   93.520,  HAMI_52203.csv                                                   
MNVP,2,China                         ,WMO_Member,  30.230,  120.170,  HANGZHOU_58457.csv                                               
MNVP,2,China                         ,WMO_Member,  33.070,  107.030,  HANZHONG_57127.csv                                               
MNVP,2,China                         ,WMO_Member,  45.930,  126.570,  HARBIN_50953.csv                                                 
MNVP,2,China                         ,WMO_Member,  24.700,  108.030,  HECHI_59023.csv                                                  
MNVP,2,China                         ,WMO_Member,  39.370,  111.210,  HEQU_53564.csv                                                   
MNVP,2,China                         ,WMO_Member,  23.800,  114.730,  HEYUAN_59293.csv                                                 
MNVP,2,China                         ,WMO_Member,  35.000,  102.900,  HEZUO_56080.csv                                                  
MNVP,2,China                         ,WMO_Member,  46.810,   85.750,  HOBOKSAR_51156.csv                                               
MNVP,2,China                         ,WMO_Member,  40.850,  111.570,  HOHHOT_53463.csv                                                 
MNVP,2,China                         ,WMO_Member,  37.130,   79.930,  HOTAN_51828.csv                                                  
MNVP,2,China                         ,WMO_Member,  41.900,  114.000,  HUADE_53391.csv                                                  
MNVP,2,China                         ,WMO_Member,  42.980,  126.750,  HUADIAN_54273.csv                                                
MNVP,2,China                         ,WMO_Member,  33.630,  118.930,  HUAIYIN_58141.csv                                                
MNVP,2,China                         ,WMO_Member,  31.400,  116.330,  HUOSHAN_58314.csv                                                
MNVP,2,China                         ,WMO_Member,  39.780,  105.750,  JARTAI_53502.csv                                                 
MNVP,2,China                         ,WMO_Member,  44.570,  120.900,  JARUD_QI_54026.csv                                               
MNVP,2,China                         ,WMO_Member,  41.150,  126.220,  JI_AN_54377.csv                                                  
MNVP,2,China                         ,WMO_Member,  27.120,  114.970,  JI_AN_57799.csv                                                  
MNVP,2,China                         ,WMO_Member,  36.600,  117.050,  JINAN_54823.csv                                                  
MNVP,2,China                         ,WMO_Member,  29.300,  117.200,  JINGDEZHEN_58527.csv                                             
MNVP,2,China                         ,WMO_Member,  44.570,   82.820,  JINGHE_51334.csv                                                 
MNVP,2,China                         ,WMO_Member,  34.430,  108.970,  JINGHE_57131.csv                                                 
MNVP,2,China                         ,WMO_Member,  41.030,  113.070,  JINING_53480.csv                                                 
MNVP,2,China                         ,WMO_Member,  41.130,  121.120,  JINZHOU_54337.csv                                                
MNVP,2,China                         ,WMO_Member,  29.000,  101.500,  JIULONG_56462.csv                                                
MNVP,2,China                         ,WMO_Member,  39.770,   98.480,  JIUQUAN_52533.csv                                                
MNVP,2,China                         ,WMO_Member,  45.300,  130.920,  JIXI_50978.csv                                                   
MNVP,2,China                         ,WMO_Member,  45.620,   84.850,  KARAMAY_51243.csv                                                
MNVP,2,China                         ,WMO_Member,  39.480,   75.750,  KASHI_51709.csv                                                  
MNVP,2,China                         ,WMO_Member,  41.730,   85.820,  KORLA_51656.csv                                                  
MNVP,2,China                         ,WMO_Member,  25.020,  102.680,  KUNMING_56778.csv                                                
MNVP,2,China                         ,WMO_Member,  41.720,   82.950,  KUQA_51644.csv                                                   
MNVP,2,China                         ,WMO_Member,  32.430,  111.730,  LAOHEKOU_57265.csv                                               
MNVP,2,China                         ,WMO_Member,  38.830,   93.380,  LENGHU_52602.csv                                                 
MNVP,2,China                         ,WMO_Member,  39.430,  118.900,  LETING_54539.csv                                                 
MNVP,2,China                         ,WMO_Member,  29.670,   91.130,  LHASA_55591.csv                                                  
MNVP,2,China                         ,WMO_Member,  26.830,  100.220,  LIJING_56651.csv                                                 
MNVP,2,China                         ,WMO_Member,  23.950,  100.220,  LINCANG_56951.csv                                                
MNVP,2,China                         ,WMO_Member,  43.950,  119.320,  LINDONG_54027.csv                                                
MNVP,2,China                         ,WMO_Member,  26.230,  111.620,  LINGLING_57866.csv                                               
MNVP,2,China                         ,WMO_Member,  40.730,  107.370,  LINHE_53513.csv                                                  
MNVP,2,China                         ,WMO_Member,  41.800,  126.880,  LINJIANG_54374.csv                                               
MNVP,2,China                         ,WMO_Member,  30.000,  100.270,  LITANG_56257.csv                                                 
MNVP,2,China                         ,WMO_Member,  37.620,  120.320,  LONGKOU_54753.csv                                                
MNVP,2,China                         ,WMO_Member,  22.370,  106.750,  LONGZHOU_59417.csv                                               
MNVP,2,China                         ,WMO_Member,  34.080,  111.070,  LUSHI_57067.csv                                                  
MNVP,2,China                         ,WMO_Member,  32.080,  121.530,  LUSI_58265.csv                                                   
MNVP,2,China                         ,WMO_Member,  34.920,   98.220,  MADOI_56033.csv                                                  
MNVP,2,China                         ,WMO_Member,  42.530,  110.130,  MANDAL_53149.csv                                                 
MNVP,2,China                         ,WMO_Member,  38.250,   90.850,  MANGNAI_51886.csv                                                
MNVP,2,China                         ,WMO_Member,  41.800,   97.030,  MAZONG_SHAN_52323.csv                                            
MNVP,2,China                         ,WMO_Member,  24.280,  116.070,  MEI_XIAN_59117.csv                                               
